media,str_date,reprint,scores
投资快报,20191108,0,0
投资快报,20191108,1,0
投资快报,20191108,0,0
北京商报,20191107,1,0
北京商报,20191107,4,0
北京商报,20191107,1,0
北京商报,20191107,1,0
新京报,20191108,1,0
澎湃,20191108,1,0
澎湃,20191108,3,0
新浪,20191108,1,2
中国基金报,20191108,5,2
新浪,20191108,2,2
新浪,20191108,2,0
中国经济网,20191108,5,2
中国经济网,20191108,3,2
第一财经,20191108,1,0
第一财经,20191108,2,0
金融界,20191108,0,2
中国证券报,20191108,7,2
新浪,20191108,0,2
中国网,20191108,13,0
新京报,20191108,4,0
和讯网,20191108,1,2
和讯网,20191108,0,2
新浪,20191108,2,2
和讯网,20191108,1,-2
上海证券报,20191108,1,0
上海证券报,20191108,0,2
上海证券报,20191108,0,0
中国网,20191108,3,2
中国经济网,20191108,0,2
中国经济网,20191108,1,2
中国经济网,20191108,1,2
中国经济网,20191108,1,2
财联社,20191108,1,0
财联社,20191108,5,0
中国证券报,20191108,4,2
证券时报,20191108,1,0
电鳗快报,20191108,1,2
电鳗快报,20191108,1,0
21世纪经济报道,20191108,0,0
第一财经,20191108,1,0
第一财经,20191108,2,0
第一财经,20191108,1,0
每日经济新闻,20191108,7,0
新浪,20191108,1,2
新浪,20191108,1,2
新浪,20191108,1,2
中国经济网,20191108,3,2
中国经济网,20191108,2,2
证券时报,20191108,0,0
第一财经,20191108,0,0
中国证券报,20191108,4,0
中国证券报,20191108,1,0
财经网,20191108,0,0
每日经济新闻,20191108,1,0
每日经济新闻,20191108,5,2
新京报,20191108,2,0
证券市场红周刊,20191108,2,0
北京商报,20191107,0,0
北京商报,20191108,2,0
北京商报,20191108,1,0
北京商报,20191108,0,0
北京商报,20191108,2,0
北京商报,20191108,2,0
电鳗快报,20191108,1,2
财联社,20191108,0,0
中国证券报,20191108,0,0
每日经济新闻,20191108,1,0
新华网,20191108,0,2
北京商报,20191108,2,2
第一财经,20191108,1,0
第一财经,20191108,1,0
21世纪经济报道,20191108,1,0
投资者报,20191108,0,0
蓝鲸,20191108,4,0
金融界,20191108,0,2
新浪,20191108,0,0
新京报,20191108,0,0
和讯网,20191108,1,2
第一财经,20191108,1,0
第一财经,20191108,1,0
第一财经,20191108,3,0
中国证券报,20191108,1,0
中国证券报,20191108,1,0
中国证券报,20191108,1,2
中国证券报,20191107,1,0
蓝鲸,20191108,6,0
